timestamp,republican__percent,democrat__percent,republican__count,democrat__count,republican__delta,democrat__delta
2020-11-04 00:35:17+00:00,0.0,1.0,0,5,,
2020-11-04 00:45:32+00:00,0.6,0.4,6,4,6.0,-1.0
2020-11-04 01:02:14+00:00,0.357,0.62,283782,492842,283776.0,492838.0
2020-11-04 01:02:45+00:00,0.421,0.555,494261,651579,210479.0,158737.0
2020-11-04 01:09:39+00:00,0.423,0.553,499003,652360,4742.0,781.0
2020-11-04 01:11:07+00:00,0.425,0.551,503114,652273,4111.0,-87.0
2020-11-04 01:11:56+00:00,0.437,0.54,1123482,1388285,620368.0,736012.0
2020-11-04 01:13:25+00:00,0.442,0.535,1248405,1511079,124923.0,122794.0
2020-11-04 01:14:08+00:00,0.444,0.533,1260082,1512666,11677.0,1587.0
2020-11-04 01:14:57+00:00,0.446,0.531,1302591,1550842,42509.0,38176.0
2020-11-04 01:15:46+00:00,0.446,0.531,1302600,1550853,9.0,11.0
2020-11-04 01:15:55+00:00,0.452,0.525,1345360,1562642,42760.0,11789.0
2020-11-04 01:17:08+00:00,0.454,0.523,1357780,1564139,12420.0,1497.0
2020-11-04 01:19:07+00:00,0.466,0.511,1719668,1885731,361888.0,321592.0
2020-11-04 01:22:12+00:00,0.472,0.505,1775901,1900064,56233.0,14333.0
2020-11-04 01:22:58+00:00,0.476,0.501,1826342,1922263,50441.0,22199.0
2020-11-04 01:23:08+00:00,0.476,0.501,1826349,1922270,7.0,7.0
2020-11-04 01:23:46+00:00,0.477,0.5,1839291,1927978,12942.0,5708.0
2020-11-04 01:24:02+00:00,0.477,0.5,1841104,1929878,1813.0,1900.0
2020-11-04 01:24:29+00:00,0.477,0.5,1841106,1929880,2.0,2.0
2020-11-04 01:25:36+00:00,0.479,0.497,1861792,1931755,20686.0,1875.0
2020-11-04 01:25:58+00:00,0.481,0.496,1913959,1973646,52167.0,41891.0
2020-11-04 01:26:10+00:00,0.488,0.489,2003767,2007873,89808.0,34227.0
2020-11-04 01:26:27+00:00,0.494,0.483,2082332,2035964,78565.0,28091.0
2020-11-04 01:29:14+00:00,0.494,0.483,2082335,2035968,3.0,4.0
2020-11-04 01:29:35+00:00,0.484,0.493,2359847,2403728,277512.0,367760.0
2020-11-04 01:31:33+00:00,0.489,0.488,2495798,2490694,135951.0,86966.0
2020-11-04 01:32:04+00:00,0.49,0.487,2521430,2505992,25632.0,15298.0
2020-11-04 01:33:05+00:00,0.49,0.487,2521431,2505994,1.0,2.0
2020-11-04 01:33:46+00:00,0.5,0.477,2678282,2555081,156851.0,49087.0
2020-11-04 01:34:07+00:00,0.501,0.476,2698411,2563760,20129.0,8679.0
2020-11-04 01:34:13+00:00,0.501,0.476,2698412,2563761,1.0,1.0
2020-11-04 01:35:09+00:00,0.5,0.477,2734992,2609182,36580.0,45421.0
2020-11-04 01:35:54+00:00,0.503,0.473,2784028,2617982,49036.0,8800.0
2020-11-04 01:37:07+00:00,0.508,0.469,3057540,2822807,273512.0,204825.0
2020-11-04 01:37:32+00:00,0.508,0.469,3057607,2822870,67.0,63.0
