timestamp,republican__percent,democrat__percent,republican__count,democrat__count,republican__delta,democrat__delta
2020-11-04 00:16:17+00:00,0.373,0.627,894,1502,,
2020-11-04 00:35:09+00:00,0.354,0.618,3312,5781,2418.0,4279.0
2020-11-04 00:45:08+00:00,0.346,0.625,6603,11927,3291.0,6146.0
2020-11-04 00:55:06+00:00,0.355,0.614,9146,15819,2543.0,3892.0
2020-11-04 01:05:08+00:00,0.322,0.647,13725,27578,4579.0,11759.0
2020-11-04 01:15:09+00:00,0.326,0.643,22511,44401,8786.0,16823.0
2020-11-04 01:25:12+00:00,0.307,0.659,28168,60464,5657.0,16063.0
2020-11-04 01:35:05+00:00,0.304,0.662,31334,68233,3166.0,7769.0
2020-11-04 01:45:08+00:00,0.308,0.658,35319,75454,3985.0,7221.0
2020-11-04 01:55:14+00:00,0.305,0.663,41493,90197,6174.0,14743.0
2020-11-04 02:05:15+00:00,0.298,0.671,45729,102968,4236.0,12771.0
2020-11-04 02:15:14+00:00,0.306,0.663,51204,110942,5475.0,7974.0
2020-11-04 02:26:59+00:00,0.302,0.668,57703,127635,6499.0,16693.0
2020-11-04 02:39:15+00:00,0.304,0.665,64584,141278,6881.0,13643.0
2020-11-04 02:45:41+00:00,0.308,0.662,69863,150159,5279.0,8881.0
2020-11-04 02:56:56+00:00,0.307,0.663,74009,159830,4146.0,9671.0
2020-11-04 03:18:38+00:00,0.304,0.666,80319,175963,6310.0,16133.0
2020-11-04 03:27:55+00:00,0.304,0.667,83076,182274,2757.0,6311.0
2020-11-04 03:38:46+00:00,0.308,0.663,87761,188915,4685.0,6641.0
2020-11-04 03:48:26+00:00,0.307,0.661,88366,190261,605.0,1346.0
2020-11-04 03:51:06+00:00,0.308,0.659,89289,191043,923.0,782.0
2020-11-04 03:58:14+00:00,0.309,0.658,92329,196610,3040.0,5567.0
2020-11-04 03:58:35+00:00,0.309,0.658,92369,196695,40.0,85.0
2020-11-04 04:07:15+00:00,0.31,0.657,95395,202176,3026.0,5481.0
2020-11-04 04:19:41+00:00,0.31,0.657,96058,203582,663.0,1406.0
2020-11-04 04:21:36+00:00,0.31,0.656,96066,203287,8.0,-295.0
2020-11-04 04:28:34+00:00,0.31,0.657,98116,207943,2050.0,4656.0
2020-11-04 04:35:48+00:00,0.31,0.657,99811,211534,1695.0,3591.0
2020-11-04 04:48:13+00:00,0.31,0.657,100682,213382,871.0,1848.0
2020-11-04 04:58:32+00:00,0.311,0.656,101544,214190,862.0,808.0
2020-11-04 05:00:31+00:00,0.311,0.656,101547,214196,3.0,6.0
2020-11-04 05:08:44+00:00,0.312,0.655,102326,214820,779.0,624.0
2020-11-04 05:09:38+00:00,0.312,0.655,102855,215929,529.0,1109.0
2020-11-04 05:13:31+00:00,0.312,0.655,102860,215939,5.0,10.0
2020-11-04 05:18:20+00:00,0.312,0.655,103270,216800,410.0,861.0
2020-11-04 05:27:38+00:00,0.312,0.654,103646,217258,376.0,458.0
2020-11-04 05:35:29+00:00,0.314,0.653,104884,218120,1238.0,862.0
2020-11-04 05:47:33+00:00,0.314,0.653,105245,218870,361.0,750.0
2020-11-04 06:05:48+00:00,0.315,0.652,106307,220039,1062.0,1169.0
2020-11-04 06:14:56+00:00,0.315,0.652,106940,221349,633.0,1310.0
2020-11-04 06:24:56+00:00,0.315,0.652,107208,221904,268.0,555.0
2020-11-04 06:34:57+00:00,0.317,0.65,109540,224609,2332.0,2705.0
2020-11-04 07:04:56+00:00,0.316,0.65,109593,225428,53.0,819.0
2020-11-04 07:54:55+00:00,0.316,0.65,109744,225740,151.0,312.0
2020-11-04 12:15:56+00:00,0.317,0.65,110514,226606,770.0,866.0
2020-11-04 13:55:57+00:00,0.317,0.65,110685,226957,171.0,351.0
2020-11-04 14:56:01+00:00,0.317,0.65,110687,226960,2.0,3.0
2020-11-04 15:46:11+00:00,0.317,0.649,110764,226770,77.0,-190.0
2020-11-04 16:35:56+00:00,0.317,0.649,110773,226789,9.0,19.0
2020-11-04 16:55:58+00:00,0.317,0.649,110776,226794,3.0,5.0
2020-11-04 17:15:58+00:00,0.317,0.649,110778,226797,2.0,3.0
2020-11-04 17:35:56+00:00,0.317,0.649,110778,226798,0.0,1.0
2020-11-04 18:51:10+00:00,0.317,0.649,110955,227161,177.0,363.0
2020-11-04 19:22:20+00:00,0.317,0.649,110962,227175,7.0,14.0
2020-11-04 19:30:58+00:00,0.317,0.649,110962,227175,0.0,0.0
2020-11-04 21:51:00+00:00,0.317,0.649,110968,227186,6.0,11.0
2020-11-04 22:21:57+00:00,0.317,0.649,110975,227201,7.0,15.0
2020-11-05 00:51:56+00:00,0.317,0.649,110979,227209,4.0,8.0
2020-11-05 20:51:56+00:00,0.317,0.649,111003,227258,24.0,49.0
2020-11-05 22:30:43+00:00,0.317,0.649,111006,227264,3.0,6.0
2020-11-06 03:44:50+00:00,0.317,0.649,111006,227266,0.0,2.0
