timestamp,republican__percent,democrat__percent,republican__count,democrat__count,republican__delta,democrat__delta
2020-11-04 00:07:32+00:00,0.533,0.461,1252,1083,,
2020-11-04 00:11:27+00:00,0.477,0.518,1279,1389,27.0,306.0
2020-11-04 00:12:14+00:00,0.515,0.478,1678,1558,399.0,169.0
2020-11-04 00:14:02+00:00,0.558,0.436,2045,1598,367.0,40.0
2020-11-04 00:15:04+00:00,0.689,0.302,5089,2231,3044.0,633.0
2020-11-04 00:16:00+00:00,0.69,0.3,5452,2371,363.0,140.0
2020-11-04 00:20:51+00:00,0.612,0.366,17698,10584,12246.0,8213.0
2020-11-04 00:21:36+00:00,0.612,0.366,18249,10914,551.0,330.0
2020-11-04 00:24:25+00:00,0.646,0.337,58372,30451,40123.0,19537.0
2020-11-04 00:25:04+00:00,0.652,0.331,65426,33215,7054.0,2764.0
2020-11-04 00:26:06+00:00,0.654,0.329,66378,33392,952.0,177.0
2020-11-04 00:30:40+00:00,0.655,0.328,69110,34608,2732.0,1216.0
2020-11-04 00:33:03+00:00,0.648,0.335,74521,38525,5411.0,3917.0
2020-11-04 00:34:01+00:00,0.647,0.335,76684,39705,2163.0,1180.0
2020-11-04 00:34:33+00:00,0.648,0.335,77275,39949,591.0,244.0
2020-11-04 00:35:14+00:00,0.49,0.493,181746,182859,104471.0,142910.0
2020-11-04 00:36:02+00:00,0.493,0.49,185459,184331,3713.0,1472.0
2020-11-04 00:37:07+00:00,0.502,0.482,196377,188554,10918.0,4223.0
2020-11-04 00:38:37+00:00,0.502,0.482,196658,188824,281.0,270.0
2020-11-04 00:43:23+00:00,0.503,0.48,198437,189363,1779.0,539.0
2020-11-04 00:44:42+00:00,0.519,0.464,215569,192724,17132.0,3361.0
2020-11-04 00:46:04+00:00,0.563,0.42,330039,246210,114470.0,53486.0
2020-11-04 00:49:37+00:00,0.557,0.426,335797,256822,5758.0,10612.0
2020-11-04 00:49:49+00:00,0.556,0.426,345238,264517,9441.0,7695.0
2020-11-04 00:53:08+00:00,0.561,0.42,356084,266587,10846.0,2070.0
2020-11-04 00:55:08+00:00,0.564,0.417,364837,269746,8753.0,3159.0
2020-11-04 00:57:07+00:00,0.578,0.403,477053,332617,112216.0,62871.0
2020-11-04 00:58:31+00:00,0.579,0.402,479583,332975,2530.0,358.0
2020-11-04 01:01:16+00:00,0.58,0.401,492178,340282,12595.0,7307.0
2020-11-04 01:01:57+00:00,0.58,0.401,492759,340684,581.0,402.0
2020-11-04 01:05:02+00:00,0.58,0.401,493547,341228,788.0,544.0
2020-11-04 01:06:08+00:00,0.589,0.393,645684,430822,152137.0,89594.0
2020-11-04 01:09:43+00:00,0.588,0.393,654212,437254,8528.0,6432.0
2020-11-04 01:11:33+00:00,0.586,0.395,687989,463747,33777.0,26493.0
2020-11-04 01:12:21+00:00,0.587,0.394,721929,484566,33940.0,20819.0
2020-11-04 01:13:20+00:00,0.587,0.394,722470,484929,541.0,363.0
2020-11-04 01:15:09+00:00,0.586,0.393,725288,486413,2818.0,1484.0
2020-11-04 01:16:36+00:00,0.586,0.393,725295,486418,7.0,5.0
2020-11-04 01:17:11+00:00,0.586,0.393,725305,486424,10.0,6.0
2020-11-04 01:17:51+00:00,0.585,0.394,729597,491387,4292.0,4963.0
2020-11-04 01:18:21+00:00,0.585,0.394,731404,492604,1807.0,1217.0
2020-11-04 01:20:28+00:00,0.583,0.395,734474,497628,3070.0,5024.0
2020-11-04 01:21:02+00:00,0.582,0.396,739895,503434,5421.0,5806.0
2020-11-04 01:21:45+00:00,0.582,0.396,739902,503439,7.0,5.0
2020-11-04 01:21:53+00:00,0.583,0.396,754509,512497,14607.0,9058.0
2020-11-04 01:22:21+00:00,0.583,0.395,771911,522993,17402.0,10496.0
2020-11-04 01:23:14+00:00,0.582,0.397,784051,534825,12140.0,11832.0
2020-11-04 01:24:12+00:00,0.582,0.396,788918,536789,4867.0,1964.0
2020-11-04 01:25:13+00:00,0.583,0.396,793120,538723,4202.0,1934.0
2020-11-04 01:26:03+00:00,0.583,0.395,808595,547848,15475.0,9125.0
2020-11-04 01:26:51+00:00,0.583,0.396,810088,550249,1493.0,2401.0
2020-11-04 01:29:03+00:00,0.583,0.396,811011,550875,923.0,626.0
2020-11-04 01:32:14+00:00,0.583,0.396,813042,552255,2031.0,1380.0
2020-11-04 01:33:42+00:00,0.577,0.402,857802,597637,44760.0,45382.0
2020-11-04 01:41:19+00:00,0.578,0.401,863785,599269,5983.0,1632.0
2020-11-04 01:42:10+00:00,0.578,0.402,933150,649008,69365.0,49739.0
2020-11-04 01:43:11+00:00,0.578,0.402,938691,652861,5541.0,3853.0
2020-11-04 01:51:34+00:00,0.578,0.402,938723,652884,32.0,23.0
2020-11-04 01:52:07+00:00,0.578,0.402,938727,652887,4.0,3.0
2020-11-04 01:52:13+00:00,0.577,0.402,942122,656383,3395.0,3496.0
2020-11-04 01:53:22+00:00,0.577,0.402,952257,663444,10135.0,7061.0
2020-11-04 01:53:48+00:00,0.577,0.402,952262,663448,5.0,4.0
2020-11-04 01:53:55+00:00,0.577,0.402,952276,663457,14.0,9.0
2020-11-04 01:54:28+00:00,0.578,0.402,959134,667079,6858.0,3622.0
2020-11-04 01:55:04+00:00,0.579,0.401,985199,682323,26065.0,15244.0
2020-11-04 01:59:26+00:00,0.577,0.402,989008,689049,3809.0,6726.0
2020-11-04 02:00:46+00:00,0.577,0.402,989009,689050,1.0,1.0
2020-11-04 02:01:16+00:00,0.577,0.402,989069,689092,60.0,42.0
2020-11-04 02:03:12+00:00,0.577,0.402,989497,689389,428.0,297.0
2020-11-04 02:04:10+00:00,0.577,0.402,989869,689649,372.0,260.0
2020-11-04 02:05:11+00:00,0.58,0.4,1035413,714078,45544.0,24429.0
2020-11-04 02:05:44+00:00,0.58,0.4,1035442,714098,29.0,20.0
2020-11-04 02:09:09+00:00,0.58,0.4,1035488,714130,46.0,32.0
2020-11-04 02:09:49+00:00,0.58,0.399,1038444,714378,2956.0,248.0
2020-11-04 02:10:00+00:00,0.58,0.399,1038942,714720,498.0,342.0
2020-11-04 02:10:17+00:00,0.58,0.399,1038949,714726,7.0,6.0
2020-11-04 02:13:19+00:00,0.58,0.399,1038960,714733,11.0,7.0
2020-11-04 02:16:15+00:00,0.58,0.399,1042041,716852,3081.0,2119.0
2020-11-04 02:16:27+00:00,0.58,0.4,1058018,729668,15977.0,12816.0
2020-11-04 02:18:47+00:00,0.579,0.401,1081442,748978,23424.0,19310.0
2020-11-04 02:23:29+00:00,0.578,0.402,1084014,753934,2572.0,4956.0
2020-11-04 02:24:11+00:00,0.578,0.402,1084528,754291,514.0,357.0
2020-11-04 02:25:49+00:00,0.577,0.404,1109676,776966,25148.0,22675.0
2020-11-04 02:32:15+00:00,0.577,0.404,1110686,777673,1010.0,707.0
2020-11-04 02:32:33+00:00,0.569,0.412,1119694,810745,9008.0,33072.0
2020-11-04 02:33:41+00:00,0.569,0.412,1120228,811132,534.0,387.0
2020-11-04 02:34:44+00:00,0.566,0.415,1120193,821343,-35.0,10211.0
2020-11-04 02:36:25+00:00,0.567,0.415,1123533,822339,3340.0,996.0
2020-11-04 02:36:32+00:00,0.566,0.416,1150632,845694,27099.0,23355.0
2020-11-04 02:44:24+00:00,0.566,0.415,1150854,843824,222.0,-1870.0
2020-11-04 02:45:08+00:00,0.566,0.416,1155409,849205,4555.0,5381.0
2020-11-04 02:46:13+00:00,0.565,0.417,1191625,879482,36216.0,30277.0
2020-11-04 02:47:52+00:00,0.564,0.417,1192606,881767,981.0,2285.0
2020-11-04 02:56:40+00:00,0.53,0.453,1318419,1126875,125813.0,245108.0
2020-11-04 03:01:32+00:00,0.53,0.453,1319209,1127550,790.0,675.0
2020-11-04 03:03:47+00:00,0.53,0.452,1328482,1132969,9273.0,5419.0
2020-11-04 03:06:33+00:00,0.53,0.453,1333965,1140162,5483.0,7193.0
2020-11-04 03:06:57+00:00,0.53,0.453,1334129,1140303,164.0,141.0
2020-11-04 03:10:02+00:00,0.53,0.452,1334627,1138211,498.0,-2092.0
2020-11-04 03:13:46+00:00,0.53,0.452,1335287,1138773,660.0,562.0
2020-11-04 03:15:00+00:00,0.53,0.452,1335293,1138778,6.0,5.0
2020-11-04 03:16:32+00:00,0.531,0.452,1341522,1141936,6229.0,3158.0
2020-11-04 03:18:15+00:00,0.531,0.452,1342222,1142532,700.0,596.0
2020-11-04 03:19:07+00:00,0.528,0.454,1351224,1161848,9002.0,19316.0
2020-11-04 03:23:16+00:00,0.528,0.454,1351237,1161859,13.0,11.0
2020-11-04 03:27:15+00:00,0.528,0.454,1357261,1167039,6024.0,5180.0
2020-11-04 03:36:53+00:00,0.528,0.454,1359038,1168566,1777.0,1527.0
2020-11-04 03:38:45+00:00,0.528,0.454,1359230,1168732,192.0,166.0
2020-11-04 03:39:44+00:00,0.528,0.454,1360112,1169490,882.0,758.0
2020-11-04 03:40:41+00:00,0.528,0.454,1361037,1170286,925.0,796.0
2020-11-04 03:41:09+00:00,0.523,0.46,1370530,1205438,9493.0,35152.0
2020-11-04 03:43:31+00:00,0.523,0.46,1371202,1206028,672.0,590.0
2020-11-04 03:44:40+00:00,0.522,0.46,1370874,1208050,-328.0,2022.0
2020-11-04 03:45:34+00:00,0.522,0.46,1371774,1208843,900.0,793.0
2020-11-04 03:46:20+00:00,0.522,0.46,1372662,1209626,888.0,783.0
2020-11-04 03:47:18+00:00,0.522,0.46,1372937,1209868,275.0,242.0
2020-11-04 03:47:33+00:00,0.522,0.46,1374163,1210949,1226.0,1081.0
2020-11-04 03:53:29+00:00,0.521,0.462,1376249,1220397,2086.0,9448.0
2020-11-04 03:54:17+00:00,0.52,0.463,1379399,1228196,3150.0,7799.0
2020-11-04 03:54:38+00:00,0.52,0.462,1405529,1248759,26130.0,20563.0
2020-11-04 03:56:21+00:00,0.52,0.463,1407110,1252869,1581.0,4110.0
