timestamp,republican__percent,democrat__percent,republican__count,democrat__count,republican__delta,democrat__delta
2020-11-04 00:11:44+00:00,0.054,0.946,18,315,,
2020-11-04 00:12:32+00:00,0.451,0.549,405,493,387.0,178.0
2020-11-04 00:14:02+00:00,0.548,0.452,709,584,304.0,91.0
2020-11-04 00:15:05+00:00,0.72,0.28,3586,1395,2877.0,811.0
2020-11-04 00:16:00+00:00,0.717,0.283,3935,1553,349.0,158.0
2020-11-04 00:21:25+00:00,0.617,0.383,16292,10113,12357.0,8560.0
2020-11-04 00:21:54+00:00,0.616,0.384,16816,10482,524.0,369.0
2020-11-04 00:24:25+00:00,0.623,0.377,57599,34856,40783.0,24374.0
2020-11-04 00:25:04+00:00,0.631,0.369,64193,37539,6594.0,2683.0
2020-11-04 00:26:09+00:00,0.633,0.367,65117,37753,924.0,214.0
2020-11-04 00:30:53+00:00,0.635,0.365,67539,38821,2422.0,1068.0
2020-11-04 00:33:24+00:00,0.628,0.372,72666,43044,5127.0,4223.0
2020-11-04 00:34:01+00:00,0.628,0.372,74864,44346,2198.0,1302.0
2020-11-04 00:34:52+00:00,0.628,0.372,75333,44624,469.0,278.0
2020-11-04 00:35:17+00:00,0.489,0.511,181326,189483,105993.0,144859.0
2020-11-04 00:36:02+00:00,0.491,0.509,184726,191499,3400.0,2016.0
2020-11-04 00:37:15+00:00,0.499,0.501,195147,195930,10421.0,4431.0
2020-11-04 00:38:46+00:00,0.499,0.501,195422,196206,275.0,276.0
2020-11-04 00:45:27+00:00,0.514,0.486,211926,200381,16504.0,4175.0
2020-11-04 00:46:04+00:00,0.549,0.451,314357,258242,102431.0,57861.0
2020-11-04 00:50:14+00:00,0.549,0.451,323977,266145,9620.0,7903.0
2020-11-04 00:50:40+00:00,0.542,0.458,329939,278805,5962.0,12660.0
2020-11-04 00:53:08+00:00,0.547,0.453,340275,281800,10336.0,2995.0
2020-11-04 00:55:10+00:00,0.55,0.45,347866,284617,7591.0,2817.0
2020-11-04 00:55:26+00:00,0.55,0.45,348804,285385,938.0,768.0
2020-11-04 00:57:17+00:00,0.564,0.436,457240,353470,108436.0,68085.0
2020-11-04 00:58:44+00:00,0.565,0.435,460247,354349,3007.0,879.0
2020-11-04 01:05:03+00:00,0.565,0.435,461013,354940,766.0,591.0
2020-11-04 01:06:05+00:00,0.575,0.425,609766,450697,148753.0,95757.0
2020-11-04 01:09:55+00:00,0.574,0.426,618013,458665,8247.0,7968.0
2020-11-04 01:11:32+00:00,0.574,0.426,637994,473493,19981.0,14828.0
