timestamp,democrat__percent,republican__percent,democrat__count,republican__count,democrat__delta,republican__delta
2020-11-04 02:39:59+00:00,0.173,0.827,293,1403,,
2020-11-04 02:57:41+00:00,0.149,0.851,674,3852,381.0,2449.0
2020-11-04 03:09:04+00:00,0.19,0.81,1233,5257,559.0,1405.0
2020-11-04 03:13:15+00:00,0.175,0.825,1265,5963,32.0,706.0
2020-11-04 03:40:05+00:00,0.161,0.839,2020,10525,755.0,4562.0
2020-11-04 03:46:25+00:00,0.207,0.793,3583,13725,1563.0,3200.0
2020-11-04 03:46:56+00:00,0.205,0.795,3660,14196,77.0,471.0
2020-11-04 03:53:51+00:00,0.275,0.725,9596,25299,5936.0,11103.0
2020-11-04 03:58:44+00:00,0.275,0.725,12639,33320,3043.0,8021.0
2020-11-04 04:06:50+00:00,0.267,0.733,14458,39690,1819.0,6370.0
2020-11-04 04:07:32+00:00,0.249,0.751,17539,52897,3081.0,13207.0
2020-11-04 04:09:53+00:00,0.242,0.758,17724,55517,185.0,2620.0
2020-11-04 04:11:40+00:00,0.242,0.758,17770,55658,46.0,141.0
2020-11-04 04:11:51+00:00,0.254,0.746,23146,67981,5376.0,12323.0
2020-11-04 04:15:23+00:00,0.251,0.749,23861,71202,715.0,3221.0
2020-11-04 04:18:09+00:00,0.246,0.754,24232,74272,371.0,3070.0
2020-11-04 04:19:36+00:00,0.242,0.758,24528,76827,296.0,2555.0
2020-11-04 04:20:25+00:00,0.239,0.761,25380,80814,852.0,3987.0
2020-11-04 04:27:19+00:00,0.232,0.768,28633,94787,3253.0,13973.0
2020-11-04 04:29:57+00:00,0.239,0.761,31385,99932,2752.0,5145.0
2020-11-04 04:30:59+00:00,0.239,0.761,31860,101447,475.0,1515.0
2020-11-04 04:45:50+00:00,0.239,0.761,32298,102839,438.0,1392.0
2020-11-04 05:00:55+00:00,0.237,0.763,33029,106333,731.0,3494.0
2020-11-04 05:07:57+00:00,0.265,0.735,40021,111003,6992.0,4670.0
2020-11-04 05:08:19+00:00,0.255,0.745,40525,118396,504.0,7393.0
2020-11-04 05:11:56+00:00,0.25,0.75,42016,126050,1491.0,7654.0
2020-11-04 05:23:12+00:00,0.249,0.751,42124,127048,108.0,998.0
2020-11-04 05:26:09+00:00,0.248,0.752,43471,131817,1347.0,4769.0
2020-11-04 05:28:15+00:00,0.244,0.756,44415,137615,944.0,5798.0
2020-11-04 05:37:14+00:00,0.243,0.757,45820,142740,1405.0,5125.0
2020-11-04 05:48:41+00:00,0.24,0.76,46609,147594,789.0,4854.0
2020-11-04 05:55:17+00:00,0.267,0.733,55697,152906,9088.0,5312.0
2020-11-04 06:01:01+00:00,0.264,0.736,56134,156494,437.0,3588.0
2020-11-04 06:13:31+00:00,0.257,0.743,57472,166155,1338.0,9661.0
2020-11-04 06:19:00+00:00,0.256,0.744,57684,167645,212.0,1490.0
2020-11-04 06:49:02+00:00,0.255,0.745,57869,169070,185.0,1425.0
2020-11-04 07:55:43+00:00,0.271,0.729,71312,191832,13443.0,22762.0
2020-11-04 08:45:42+00:00,0.27,0.73,71731,193941,419.0,2109.0
2020-11-04 08:50:41+00:00,0.269,0.731,72764,197734,1033.0,3793.0
2020-11-05 03:23:59+00:00,0.269,0.731,72764,197734,0.0,0.0
2020-11-06 02:43:32+00:00,0.269,0.731,72813,197868,49.0,134.0
